einiosaurus,herbivorous,procurvicornis
indosuchus,carnivorous,raptorius
melanorosaurus,omnivorous,readi
edmontosaurus,herbivorous,regalis
alioramus,carnivorous,remotus
othnielia,herbivorous,rex
tyrannosaurus,carnivorous,rex
janenschia,herbivorous,robusta
protarchaeopteryx,carnivorous,robusta
zalmoxes,herbivorous,robustus
mapusaurus,carnivorous,roseae
bagaceratops,herbivorous,rozhdestvenskyi
nipponosaurus,herbivorous,sachalinensis
carcharodontosaurus,carnivorous,saharicus
sonidosaurus,herbivorous,saihangaobiensis
neovenator,carnivorous,salerii
confuciusornis,carnivorous,sanctus
alamosaurus,herbivorous,sanjuanensis
carnotaurus,carnivorous,sastrei
zephyrosaurus,herbivorous,schaffi
shamosaurus,herbivorous,scutatus
yangchuanosaurus,carnivorous,shangyouensis
tanius,herbivorous,sinensis
opisthocoelicaudia,herbivorous,skarzynskii
tsintaosaurus,herbivorous,spinorhinus
juravenator,carnivorous,starki
pentaceratops,herbivorous,sternbergi
cetiosauriscus,herbivorous,stewarti
paralititan,herbivorous,stromeri
bellusaurus,herbivorous,sui
camarasaurus,herbivorous,supremus
barapasaurus,herbivorous,tagorei
huayangosaurus,herbivorous,taibaii
torvosaurus,carnivorous,tanneri
nigersaurus,herbivorous,taqueti
suchomimus,carnivorous,tenerensis
fukuisaurus,herbivorous,tetoriensius
nodosaurus,herbivorous,textilis
nqwebasaurus,carnivorous,thwazi
jobaria,herbivorous,tiguidensis
tenontosaurus,herbivorous,tillettorum
maxakalisaurus,herbivorous,topai
daspletosaurus,carnivorous,torosus
telmatosaurus,herbivorous,transsylvanicus
procompsognathus,carnivorous,triassicus
udanoceratops,herbivorous,tschizhovi
aralosaurus,herbivorous,tuberiferus
heterodontosaurus,herbivorous,tucki
stenopelix,herbivorous,valdensis
dubreuillosaurus,carnivorous,valesdunensis
stegoceras,herbivorous,validum
ornithomimus,omnivorous,velox
supersaurus,herbivorous,vivianae
parasaurolophus,herbivorous,walkeri
baryonyx,carnivorous,walkeri
parksosaurus,herbivorous,warrenae
antarctosaurus,herbivorous,wichmannianus
sarcosaurus,carnivorous,woodi
guanlong,carnivorous,wucaii
pachycephalosaurus,herbivorous,wyomingensis
jingshanosaurus,herbivorous,xinwaensis
kotasaurus,herbivorous,yamanpalliensis
jinzhousaurus,herbivorous,yangi
heyuannia,omnivorous,yanshini
liaoceratops,herbivorous,yanzigouensis
chaoyangsaurus,herbivorous,youngi
yimenosaurus,herbivorous,youngi
euhelopus,herbivorous,zdanskyi
microraptor,carnivorous,zhaoianus
chinshakiangosaurus,herbivorous,zhongheensis
caudipteryx,omnivorous,zoui
centrosaurus,herbivorous,
chasmosaurus,herbivorous,
euoplocephalus,herbivorous,
coelophysis,carnivorous,
dilophosaurus,carnivorous,
